country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","11-11-2025 18:00:00",21.185571,81.343175,PM2.5,9,87,42
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-11-2025 18:00:00",28.776200,77.051074,OZONE,4,196,137
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","11-11-2025 18:00:00",28.5512005,77.2735737,OZONE,10,168,77
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","11-11-2025 18:00:00",28.656756,77.227234,SO2,6,22,12
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-11-2025 18:00:00",28.7500499,77.1112615,PM2.5,117,370,300
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","11-11-2025 18:00:00",21.224231,81.408350,PM10,38,152,88
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","11-11-2025 18:00:00",21.224231,81.408350,OZONE,12,61,49
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","11-11-2025 18:00:00",22.08815,82.13737,SO2,8,20,16
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","11-11-2025 18:00:00",22.118125,83.140608,SO2,3,40,15
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","11-11-2025 18:00:00",22.368195,82.746431,CO,19,38,30
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-11-2025 18:00:00",21.258815,81.578979,PM2.5,28,77,54
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-11-2025 18:00:00",28.563262,77.186937,NH3,4,6,5
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-11-2025 18:00:00",28.563262,77.186937,OZONE,4,258,140
India,Delhi,Delhi,"Rohini, Delhi - DPCC","11-11-2025 18:00:00",28.732528,77.119920,OZONE,4,292,191
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-11-2025 18:00:00",28.6514781,77.1473105,PM2.5,276,323,293
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-11-2025 18:00:00",28.6514781,77.1473105,NH3,8,15,11
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-11-2025 18:00:00",28.6514781,77.1473105,SO2,1,27,8
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-11-2025 18:00:00",28.6514781,77.1473105,CO,34,121,54
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-11-2025 18:00:00",28.5504249,77.2159377,PM2.5,324,500,446
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-11-2025 18:00:00",28.5504249,77.2159377,PM10,211,481,399
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-11-2025 18:00:00",28.5504249,77.2159377,NH3,7,12,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-11-2025 18:00:00",28.570173,76.933762,NO2,121,153,134
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-11-2025 18:00:00",28.570173,76.933762,NH3,9,11,10
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-11-2025 18:00:00",28.822836,77.101981,NO2,19,90,48
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-11-2025 18:00:00",28.822836,77.101981,NH3,15,18,17
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-11-2025 18:00:00",28.822836,77.101981,OZONE,4,222,159
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-11-2025 18:00:00",28.567890,77.250515,PM10,212,459,395
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-11-2025 18:00:00",28.567890,77.250515,NH3,8,17,12
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-11-2025 18:00:00",28.567890,77.250515,CO,92,148,102
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","11-11-2025 18:00:00",28.6573814,77.1585447,PM10,212,479,409
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","11-11-2025 18:00:00",23.041137,72.456691,CO,37,82,47
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","11-11-2025 18:00:00",23.023389,72.515201,PM2.5,78,209,125
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","11-11-2025 18:00:00",23.023389,72.515201,NO2,26,152,91
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","11-11-2025 18:00:00",23.076793,72.627874,OZONE,1,50,37
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","11-11-2025 18:00:00",21.613267,73.010555,PM2.5,70,230,132
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","11-11-2025 18:00:00",21.613267,73.010555,NO2,20,28,27
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","11-11-2025 18:00:00",21.613267,73.010555,SO2,34,43,42
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","11-11-2025 18:00:00",28.699793,77.165453,OZONE,16,302,154
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","11-11-2025 18:00:00",23.107969,72.574648,PM2.5,47,173,94
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","11-11-2025 18:00:00",23.107969,72.574648,PM10,99,422,184
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","11-11-2025 18:00:00",22.977134,72.553024,NO2,40,173,119
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","11-11-2025 18:00:00",22.977134,72.553024,NH3,3,86,29
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","11-11-2025 18:00:00",23.002657,72.591912,SO2,28,47,39
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","11-11-2025 18:00:00",23.002657,72.591912,OZONE,1,63,46
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-11-2025 18:00:00",28.5504249,77.2159377,OZONE,8,26,17
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-11-2025 18:00:00",28.710508,77.249485,PM2.5,306,500,435
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-11-2025 18:00:00",28.710508,77.249485,PM10,179,491,380
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-11-2025 18:00:00",28.710508,77.249485,SO2,8,26,15
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","11-11-2025 18:00:00",28.672342,77.315260,CO,32,135,49
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","11-11-2025 18:00:00",28.699793,77.165453,PM10,255,500,461
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","11-11-2025 18:00:00",28.699793,77.165453,SO2,10,21,15
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-11-2025 18:00:00",28.611281,77.237738,PM10,186,457,375
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-11-2025 18:00:00",28.636429,77.201067,PM2.5,190,499,425
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-11-2025 18:00:00",28.636429,77.201067,NO2,33,85,55
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-11-2025 18:00:00",28.684678,77.076574,PM10,157,500,380
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","11-11-2025 18:00:00",28.60909,77.0325413,PM2.5,72,364,229
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","11-11-2025 18:00:00",28.60909,77.0325413,PM10,179,227,195
India,Delhi,Delhi,"ITO, Delhi - CPCB","11-11-2025 18:00:00",28.628624,77.241060,OZONE,5,76,43
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-11-2025 18:00:00",28.732820,77.170633,PM2.5,322,500,453
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-11-2025 18:00:00",28.580280,77.233829,NH3,1,4,1
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","11-11-2025 18:00:00",28.588333,77.221667,NO2,46,215,119
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","11-11-2025 18:00:00",28.588333,77.221667,SO2,3,46,23
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-11-2025 18:00:00",28.7500499,77.1112615,NO2,44,101,56
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-11-2025 18:00:00",28.7500499,77.1112615,CO,38,101,63
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-11-2025 18:00:00",28.7500499,77.1112615,OZONE,7,23,15
